debuggroup summary 0.48s debug will appear for these features: summary,timer
debuggroup summary 0.49s parsing karyotype and organizing ideograms
debuggroup summary 0.84s applying global and local scaling
debuggroup summary 0.98s allocating image, colors and brushes
debuggroup summary 2.09s drawing highlights and ideograms
debuggroup summary 5.60s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/link.conf
debuggroup summary 5.60s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/link.conf
debuggroup summary 5.60s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/highlight.conf
debuggroup summary 5.61s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/highlight.conf
debuggroup summary 5.61s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/text.conf
debuggroup summary 5.61s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.61s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.61s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.61s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.61s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.61s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.61s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.61s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.61s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.61s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.62s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.62s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.62s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.62s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.62s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.62s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.62s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.62s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.62s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.62s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.62s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.62s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.62s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.62s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.63s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.63s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.63s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.63s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.63s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.63s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.63s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.63s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.63s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.63s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.63s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.63s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.63s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.63s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.64s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.64s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.64s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.64s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.64s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.64s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.64s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.64s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.64s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.64s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/heatmap.conf
debuggroup summary 5.64s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.64s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.64s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.65s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.65s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.65s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.65s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.65s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.65s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.65s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.65s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.65s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.65s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.65s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.65s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
debuggroup summary 5.66s found conf file /home/martink/work/circos/svn/bin/../etc/tracks/scatter.conf
